古城,八角游乐园
八角游乐园,八宝山
八宝山,玉泉路
玉泉路,五棵松
五棵松,万寿路
万寿路,公主坟
公主坟,军事博物馆
公主坟,莲花桥
公主坟,西钓鱼台
军事博物馆,木樨地
军事博物馆,北京西站
军事博物馆,白堆子
木樨地,南礼士路
南礼士路,复兴门
复兴门,西单
复兴门,长椿街
复兴门,阜成门
西单,天安门西
西单,灵境胡同
西单,宣武门
天安门西,天安门东
天安门东,王府井
王府井,东单
东单,建国门
东单,崇文门
东单,灯市口
建国门,永安里
建国门,朝阳门
建国门,北京站
永安里,国贸
国贸,大望路
国贸,金台夕照
国贸,双井
大望路,四惠
大望路,九龙山
大望路,金台路
四惠,四惠东
四惠东,高碑店
西直门,积水潭
西直门,鼓楼大街
西直门,动物园
西直门,新街口
西直门,大钟寺
积水潭,鼓楼大街
鼓楼大街,安定门
鼓楼大街,安德里北街
鼓楼大街,什刹海
安定门,雍和宫
雍和宫,东直门
雍和宫,北新桥
雍和宫,和平里北街
东直门,东四十条
东直门,柳芳
东直门,三元桥
东四十条,朝阳门
朝阳门,东四
朝阳门,东大桥
北京站,崇文门
崇文门,前门
崇文门,磁器口
前门,和平门
和平门,宣武门
宣武门,长椿街
宣武门,菜市口
阜成门,车公庄
车公庄,车公庄西
车公庄,平安里
北宫门,西苑
北宫门,安河桥北
西苑,圆明园
西苑,万泉河桥
西苑,农大南路
圆明园,北京大学东门
北京大学东门,中关村
中关村,海淀黄庄
海淀黄庄,人民大学
海淀黄庄,苏州街
海淀黄庄,知春里
人民大学,魏公村
魏公村,国家图书馆
国家图书馆,动物园
国家图书馆,白石桥南
国家图书馆,甘家口
国家图书馆,万寿寺
新街口,平安里
平安里,西四
平安里,北海北
西四,灵境胡同
菜市口,陶然亭
菜市口,广安门内
菜市口,虎坊桥
陶然亭,北京南站
北京南站,马家堡
北京南站,永定门外
马家堡,角门西
角门西,公益西桥
角门西,角门东
角门西,草桥
公益西桥,新宫
新宫,西红门
西红门,高米店北
高米店北,高米店南
高米店南,枣园
枣园,清源路
清源路,黄村西大街
黄村西大街,黄村火车站
黄村火车站,义和庄
义和庄,生物医药基地
生物医药基地,天宫院
宋家庄,刘家窑
宋家庄,成寿寺
宋家庄,石榴庄
宋家庄,分钟寺
宋家庄,肖村
刘家窑,蒲黄榆
蒲黄榆,天坛东门
蒲黄榆,景泰
蒲黄榆,方庄
天坛东门,磁器口
磁器口,桥湾
磁器口,广渠门内
灯市口,东四
东四,张自忠路
东四,南锣鼓巷
张自忠路,北新桥
和平里北街,和平西桥
和平西桥,惠新西街南口
惠新西街南口,惠新西街北口
惠新西街南口,安贞门
惠新西街南口,芍药居
惠新西街北口,大屯路东
大屯路东,北苑路北
大屯路东,关庄
大屯路东,安立路
北苑路北,立水桥南
立水桥南,立水桥
立水桥,天通苑南
立水桥,霍营
立水桥,北苑
天通苑南,天通苑
天通苑,天通苑北
杨庄,西黄村
杨庄,金安桥
西黄村,廖公庄
廖公庄,田村
田村,海淀五路居
海淀五路居,慈寿寺
慈寿寺,花园桥
慈寿寺,西钓鱼台
慈寿寺,车道沟
慈寿寺,长春桥
花园桥,白石桥南
白石桥南,车公庄西
白石桥南,白堆子
北海北,南锣鼓巷
南锣鼓巷,什刹海
南锣鼓巷,中国美术馆
东大桥,呼家楼
呼家楼,金台路
呼家楼,团结湖
呼家楼,金台夕照
金台路,十里堡
金台路,朝阳公园
十里堡,青年路
青年路,褡裢坡
褡裢坡,黄渠
黄渠,常营
常营,草房
常营,通运门
草房,物资学院路
物资学院路,通州北关
通州北关,通运门
通运门,北运河西
北运河西,北运河东
北运河东,郝家府
郝家府,东夏园
东夏园,潞城
金安桥,四道桥
湾子,达官营
湾子,北京西站
达官营,广安门内
虎坊桥,珠市口
珠市口,桥湾
珠市口,天桥
广渠门内,广渠门外
广渠门外,双井
双井,九龙山
双井,劲松
九龙山,大郊亭
九龙山,平乐园
大郊亭,百子湾
百子湾,化工
化工,南楼梓庄
南楼梓庄,欢乐谷景区
欢乐谷景区,垡头
垡头,双合
双合,焦化厂
焦化厂,黄厂
黄厂,郎辛庄
郎辛庄,黑庄户
黑庄户,万盛西
万盛西,万盛东
万盛东,群芳
群芳,高楼金
高楼金,花庄
花庄,土桥
北京西站,六里桥东
朱辛庄,育知路
朱辛庄,巩华城
朱辛庄,生命科学园
育知路,平西府
平西府,回龙观东大街
回龙观东大街,霍营
霍营,育新
霍营,回龙观
育新,西小口
西小口,永泰庄
永泰庄,林萃桥
林萃桥,森林公园南门
森林公园南门,奥林匹克公园
奥林匹克公园,奥体中心
奥林匹克公园,安立路
奥林匹克公园,北沙滩
奥体中心,北土城
北土城,安华桥
北土城,健德门
北土城,安贞门
安华桥,安德里北街
德茂,五福堂
德茂,瀛海
五福堂,火箭万源
火箭万源,东高地
东高地,和义
和义,大红门南
大红门南,海户屯
海户屯,木樨园
木樨园,永定门外
永定门外,天桥
永定门外,景泰
丰台科技园,科怡路
丰台科技园,郭公庄
科怡路,丰台南路
丰台南路,丰台东大街
丰台东大街,七里庄
七里庄,六里桥
七里庄,大井
七里庄,西局
六里桥,六里桥东
六里桥,西局
六里桥,莲花桥
郭公庄,白盆窑
郭公庄,大葆台
巴沟,苏州街
知春里,知春路
知春路,西土城
知春路,大钟寺
知春路,五道口
西土城,牡丹园
牡丹园,健德门
芍药居,太阳宫
芍药居,望京西
芍药居,光熙门
太阳宫,三元桥
三元桥,亮马桥
三元桥,2号航站楼
三元桥,3号航站楼
亮马桥,农业展览馆
农业展览馆,团结湖
劲松,潘家园
潘家园,十里河
十里河,分钟寺
十里河,方庄
十里河,北工大西门
分钟寺,成寿寺
石榴庄,大红门
大红门,角门东
草桥,纪家庙
草桥,大兴新城
纪家庙,首经贸
首经贸,丰台站
首经贸,花乡东桥
首经贸,东管头南
丰台站,泥洼
泥洼,西局
车道沟,长春桥
长春桥,火器营
五道口,上地
上地,清河站
清河站,西二旗
西二旗,龙泽
西二旗,生命科学园
龙泽,回龙观
北苑,望京西
望京西,望京
望京西,关庄
光熙门,柳芳
张郭庄,园博园
园博园,大瓦窑
大瓦窑,郭庄子
郭庄子,大井
北工大西门,平乐园
朝阳公园,枣营
枣营,东风北桥
东风北桥,将台
将台,望京南
望京南,阜通
阜通,望京
望京,东湖渠
望京,望京东
东湖渠,来广营
来广营,善各庄
俸伯,顺义
顺义,石门
石门,南法信
南法信,后沙峪
后沙峪,花梨坎
花梨坎,国展
国展,孙河
孙河,马泉营
马泉营,崔各庄
崔各庄,望京东
北沙滩,六道口
六道口,清华东路西口
万寿寺,苏州桥
苏州桥,万泉河桥
农大南路,马连洼
马连洼,西北旺
西北旺,永丰南
永丰南,永丰
永丰,屯佃
屯佃,稻香湖路
稻香湖路,温阳路
温阳路,北安河
高碑店,传媒大学
传媒大学,双桥
双桥,管庄
管庄,八里桥
八里桥,通州北苑
通州北苑,果园
果园,九棵树
九棵树,梨园
梨园,临河里
临河里,土桥
十三陵景区,昌平
十三陵景区,昌平西山口
昌平,昌平东关
昌平东关,北邵洼
北邵洼,南邵
南邵,沙河高教园
沙河高教园,沙河
沙河,巩华城
肖村,小红门
小红门,旧宫
旧宫,亦庄桥
亦庄桥,亦庄文化园
亦庄文化园,万源街
万源街,荣京东街
荣京东街,荣昌东街
荣昌东街,同济南路
同济南路,经海路
经海路,次渠南
次渠南,次渠
次渠,亦庄火车站
花乡东桥,白盆窑
大葆台,稻田
稻田,长阳
长阳,篱笆房
篱笆房,广阳城
广阳城,良乡大学城北
良乡大学城北,良乡大学城
良乡大学城,良乡大学城西
良乡大学城西,良乡南关
良乡南关,苏庄
苏庄,阎村东
阎村东,紫草坞
四道桥,桥户营
桥户营,上岸
上岸,栗园庄
栗园庄,小园
小园,石厂
燕山,房山城关
房山城关,饶乐府
饶乐府,马各庄
马各庄,大石河东
大石河东,星城
星城,阎村
阎村,紫草坞
大兴机场,大兴新城
