韦家碾,升仙湖
升仙湖,火车北站
火车北站,人民北路
火车北站,北站西二路
火车北站,驷马桥
人民北路,文殊院
人民北路,西北桥
人民北路,梁家巷
文殊院,骡马市
骡马市,天府广场
骡马市,太升南路
骡马市,宽窄巷子
天府广场,锦江宾馆
天府广场,人民公园
天府广场,春熙路
锦江宾馆,华西坝
华西坝,省体育馆
省体育馆,倪家桥
省体育馆,衣冠庙
省体育馆,磨子桥
倪家桥,桐梓林
倪家桥,川大望江校区
倪家桥,芳草街
桐梓林,火车南站
火车南站,高新
火车南站,神仙树
火车南站,三瓦窑
火车南站,孵化园
高新,金融城
金融城,孵化园
孵化园,锦城广场
孵化园,心岛
孵化园,锦城大道
孵化园,锦城广场东
锦城广场,世纪城
世纪城,天府三街
世纪城,锦城广场东
世纪城,海昌路
天府三街,天府五街
天府五街,华府大道
华府大道,四河
四河,华阳
四河,广都
华阳,海昌路
海昌路,广福
海昌路,西博城
广福,红石公园
红石公园,麓湖
麓湖,武汉路
武汉路,天府公园
天府公园,西博城
西博城,广州路
西博城,天府商务区
西博城,秦皇寺
西博城,兴隆
广州路,兴隆湖
兴隆湖,科学城
广都,五根松
犀浦,天河路
犀浦,天宇路
犀浦,兴业北街
天河路,百草路
百草路,金周路
金周路,金科北路
金科北路,迎宾大道
迎宾大道,茶店子客运站
茶店子客运站,羊犀立交
羊犀立交,一品天下
一品天下,蜀汉路东
一品天下,茶店子
一品天下,金沙博物馆
蜀汉路东,白果林
白果林,中医大省医院
中医大省医院,通惠门
中医大省医院,宽窄巷子
中医大省医院,草堂北路
中医大省医院,抚琴
中医大省医院,青羊宫
通惠门,人民公园
春熙路,东门大桥
春熙路,新南门
春熙路,市二医院
东门大桥,牛王庙
牛王庙,牛市口
牛王庙,玉双路
牛王庙,顺江路
牛市口,东大路
东大路,塔子山公园
东大路,双桥路
东大路,净居寺
塔子山公园,成都东客站
成都东客站,成渝立交
成都东客站,大观
成都东客站,迎晖路
成渝立交,惠王陵
惠王陵,洪河
洪河,成都行政学院
成都行政学院,大面铺
大面铺,连山坡
连山坡,界牌
界牌,书房
书房,龙平路
龙平路,龙泉驿
双流西,三里坝
双流西,双流机场2航站楼
双流西,应天寺
三里坝,双流广场
双流广场,东升
东升,迎春桥
迎春桥,航都大街
航都大街,龙桥路
龙桥路,双凤桥
双凤桥,武青南路
武青南路,武侯立交
武青南路,簇桥
武青南路,机投桥
武侯立交,川藏立交
川藏立交,太平园
太平园,红牌楼
太平园,武侯大道
太平园,高朋大道
太平园,簇锦
红牌楼,高升桥
高升桥,衣冠庙
高升桥,省骨科医院
高升桥,科园
磨子桥,新南门
市二医院,红星桥
市二医院,玉双路
市二医院,太升南路
红星桥,前锋路
前锋路,李家沱
前锋路,梁家巷
前锋路,建设北路
李家沱,驷马桥
驷马桥,昭觉寺南路
驷马桥,府青路
昭觉寺南路,动物园
动物园,熊猫大道
熊猫大道,军区总医院
军区总医院,植物园
植物园,金华寺东路
金华寺东路,三河场
三河场,锦水河
锦水河,团结新区
团结新区,马超西路
马超西路,钟楼
钟楼,石油大学
石油大学,成都医学院
西河,明蜀王陵
明蜀王陵,成都大学
成都大学,十陵
十陵,来龙
来龙,槐树店
槐树店,万年场
槐树店,迎晖路
槐树店,双店路
万年场,双桥路
双桥路,玉双路
双桥路,万年路
玉双路,新鸿路
草堂北路,西南财大
西南财大,文化宫
文化宫,清江西路
文化宫,金沙博物馆
文化宫,东坡路
清江西路,成都西站
成都西站,中坝
成都西站,培风
成都西站,黄田坝
中坝,蔡桥
蔡桥,非遗博览园
非遗博览园,马厂坝
马厂坝,凤凰大街
凤凰大街,涌泉
涌泉,光华公园
光华公园,南熏大道
南熏大道,凤溪河
凤溪河,杨柳河
凤溪河,市五医院
凤溪河,温泉大道
杨柳河,万盛
华桂路,柏水场
柏水场,廖家湾
廖家湾,北部商贸城
北部商贸城,幸福桥
幸福桥,九道堰
九道堰,杜家碾
杜家碾,大丰
大丰,石犀公园
石犀公园,皇花园
皇花园,陆家桥
陆家桥,泉水路
泉水路,洞子口
洞子口,福宁路
福宁路,五块石
五块石,赛云台
赛云台,北站西二路
北站西二路,西北桥
北站西二路,九里堤
西北桥,花牌坊
西北桥,沙湾
花牌坊,抚琴
青羊宫,省骨科医院
科园,九兴大道
九兴大道,神仙树
九兴大道,永丰
九兴大道,高朋大道
神仙树,石羊立交
神仙树,高朋大道
石羊立交,市一医院
市一医院,交子大道
交子大道,锦城大道
锦城大道,锦城湖
锦城大道,三元
锦城湖,大源
大源,民乐
民乐,骑龙
骑龙,警官学院
警官学院,二江寺
二江寺,南湖立交
南湖立交,怡心湖
怡心湖,龙马路
龙马路,回龙
回龙,钓鱼嘴
回龙,兰家沟
望丛祠,和平街
和平街,郫筒
郫筒,蜀新大道
蜀新大道,檬梓
蜀新大道,康强四路
蜀新大道,天源路
檬梓,尚锦路
尚锦路,红高路
红高路,天宇路
兴业北街,梓潼宫
梓潼宫,侯家桥
侯家桥,兴盛
兴盛,青杠
青杠,西华大道
西华大道,金府
金府,星河
星河,西南交大
西南交大,沙湾
西南交大,九里堤
西南交大,花照壁
建设北路,新鸿路
顺江路,三官堂
三官堂,东光
东光,琉璃场
东光,净居寺
东光,东湖公园
琉璃场,琉三路
琉璃场,四川师大
琉璃场,三瓦窑
琉三路,金石路
金石路,金融城东
金融城东,中和
金融城东,心岛
中和,张家寺
张家寺,陆肖
陆肖,观东
观东,新通大道
新通大道,新川路
新川路,龙灯山
龙灯山,蒲草塘
蒲草塘,万安
万安,麓山大道
麓山大道,沈阳路
沈阳路,青岛路
青岛路,昌公堰
昌公堰,杭州路
杭州路,天府商务区
秦皇寺,松林
松林,芦角
芦角,钓鱼嘴
花照壁,茶店子
东坡路,龙爪堰
龙爪堰,武侯大道
高朋大道,殷家林
三瓦窑,玻璃场
玻璃场,四川师大
四川师大,狮子山
狮子山,大观
双店路,崔家店
崔家店,理工大学
理工大学,二仙桥
理工大学,十里店
理工大学,东郊记忆
二仙桥,八里庄
八里庄,府青路
三元,太平寺
三元,石羊
三元,顺风
太平寺,华兴
华兴,簇桥
华兴,簇锦
华兴,金花
机投桥,培风
机投桥,白佛桥
金花,双流机场1航站楼
双流机场1航站楼,双流机场2航站楼
应天寺,黄水
黄水,花源
花源,新津
新津,花桥
花桥,五津
五津,儒林路
儒林路,刘家碾
刘家碾,新平
金星,黄石
黄石,市五医院
温泉大道,明光
明光,九江北
九江北,白佛桥
兴隆,天府新站
天府新站,三岔
三岔,福田
福田,天府机场3号4号航站楼
天府机场3号4号航站楼,天府机场1号2号航站楼
天府机场1号2号航站楼,天府机场北
新业路,百叶路
新业路,锦城学院
新业路,土龙路
百叶路,晨风
晨风,天河路（蓉）
天河路（蓉）,犀安路
犀安路,龙吟
龙吟,交大犀浦校区
交大犀浦校区,犀方路
犀方路,国宁
国宁,大田
大田,西华大学
西华大学,双林村
双林村,金土
金土,技师学院
技师学院,仁和
郫县西站,菠萝滩
菠萝滩,梨园路
梨园路,和兴街
和兴街,望丛祠（蓉）
望丛祠（蓉）,望丛中路
望丛中路,何公路
何公路,晨光
晨光,花石
花石,大禹东路
大禹东路,红展东路
红展东路,红旗大道
红旗大道,德富大道
德富大道,安泰五路
安泰五路,安泰二路
安泰二路,康强四路
天源路,天映路
天映路,安埠
安埠,天欣路
天欣路,合作路
合作路,合信路
合信路,天润路
天润路,电子科大
电子科大,新达路
新达路,锦城学院
土龙路,两河路
两河路,清淳
清淳,联工
联工,成都西站（蓉）
东郊记忆,杉板桥
杉板桥,万年路
东湖公园,川大望江校区
芳草街,永丰
殷家林,庆安
庆安,石羊
顺风,珠江路
珠江路,川大江安校区
川大江安校区,文星
文星,莲花
